"Airline","Origin_Airport","Stopover_Airport","Destination_Airport","Origin_Departure_Delay","Stopover_Arrival_Delay","Stopover_Departure_Delay","Destination_Arrival_Delay"
"VX","SFO","LAX","JFK","0","2","21","6"
"AA","SFO","LAX","JFK","5","2","30","28"
"VX","SFO","LAX","JFK","0","-3","21","6"
"DL","SFO","ATL","JFK","1","-18","52","44"
"AA","SFO","PHX","JFK","-2","-3","81","52"
"B6","SFO","FLL","JFK","5","20","85","61"
"VX","SFO","LAX","JFK","-2","3","82","80"
"DL","SFO","DTW","JFK","1","11","55","35"
"DL","SFO","ATL","JFK","-2","-15","57","23"
"AA","SFO","PHX","JFK","4","-3","36","36"
"AA","SFO","MIA","JFK","10","-8","-1","-5"
"VX","SFO","LAX","JFK","-5","-9","0","-6"
"AA","SFO","LAX","JFK","-3","-11","55","36"
"AA","SFO","PHX","JFK","-1","-10","2","-7"
"AA","SFO","LAX","JFK","-5","-4","0","-14"
"AA","SFO","LAX","JFK","-5","-4","-3","-4"
"VX","SFO","LAX","JFK","1","-7","-6","-17"
"AA","SFO","LAX","JFK","-3","-4","-1","11"
"AA","SFO","LAX","JFK","-3","-4","0","-14"
"AA","SFO","MIA","JFK","2","-8","2","-17"
"DL","SFO","ATL","JFK","20","12","1","-29"
"AA","SFO","PHX","JFK","-3","-7","-2","-6"
"DL","SFO","ATL","JFK","-4","-16","-5","-31"
"AA","SFO","MIA","JFK","2","-6","54","31"
"VX","SFO","LAX","JFK","7","22","8","-10"
"DL","SFO","ATL","JFK","3","-4","47","31"
"AA","SFO","PHX","JFK","0","6","-1","-3"
"DL","SFO","DTW","JFK","-1","-24","66","55"
"DL","SFO","ATL","JFK","1","-24","3","-11"
"AA","SFO","PHX","JFK","4","6","19","35"
"AA","SFO","MIA","JFK","1","22","98","60"
"VX","SFO","LAX","JFK","146","143","111","102"
"AA","SFO","PHX","JFK","-3","-14","6","-15"
"VX","SFO","LAX","JFK","176","215","126","102"
"AA","SFO","LAX","JFK","12","5","-2","-20"
"AA","SFO","LAX","JFK","12","5","0","-11"
"VX","SFO","LAX","JFK","52","65","126","102"
"AA","SFO","MIA","JFK","89","82","-4","-24"
"B6","SFO","FLL","JFK","151","155","76","63"
"DL","SFO","ATL","JFK","167","157","1","-2"
"DL","SFO","ATL","JFK","176","142","5","-12"
